repo,login,country,city,lat,lon,contributions
chroma-core/chroma,jeffchuber,United States,San Francisco,37.7749,-122.4194,434
chroma-core/chroma,beggers,United States,San Francisco,37.7749,-122.4194,105
chroma-core/chroma,kylediaz,United States,San Francisco,37.7749,-122.4194,80
chroma-core/chroma,drewkim,United States,San Francisco,37.7749,-122.4194,56
chroma-core/chroma,nicolasgere,United States,San Francisco,37.7749,-122.4194,35
langgenius/dify,bowenliang123,China,Beijing,39.9042,116.4074,295
langgenius/dify,asukaminato0721,Japan,Tokyo,35.6762,139.6503,207
langgenius/dify,fatelei,China,Beijing,39.9042,116.4074,192
langgenius/dify,NeatGuyCoding,Australia,Sydney,-33.8688,151.2093,129
langgenius/dify,WTW0313,China,Beijing,39.9042,116.4074,128
PaddlePaddle/Paddle,reyoung,China,Beijing,39.9042,116.4074,2455
PaddlePaddle/Paddle,jacquesqiao,China,Beijing,39.9042,116.4074,1501
PaddlePaddle/Paddle,SigureMo,China,Beijing,39.9042,116.4074,873
PaddlePaddle/Paddle,dzhwinter,China,Beijing,39.9042,116.4074,799
PaddlePaddle/Paddle,velconia,China,Beijing,39.9042,116.4074,708
PaddlePaddle/Paddle,panyx0718,China,Beijing,39.9042,116.4074,678
PaddlePaddle/Paddle,chenwhql,China,Beijing,39.9042,116.4074,649
PaddlePaddle/Paddle,typhoonzero,China,Beijing,39.9042,116.4074,632
PaddlePaddle/Paddle,Aurelius84,China,Beijing,39.9042,116.4074,585
PaddlePaddle/Paddle,zhiqiu,China,Beijing,39.9042,116.4074,521
apache/flink,tillrohrmann,Germany,Berlin,52.52,13.405,2098
apache/flink,StephanEwen,Germany,Berlin,52.52,13.405,1757
apache/flink,twalthr,Germany,Berlin,52.52,13.405,1019
apache/flink,rmetzger,Germany,Berlin,52.52,13.405,745
apache/flink,rkhachatryan,Germany,Berlin,52.52,13.405,487
apache/flink,XComp,Germany,Berlin,52.52,13.405,434
apache/flink,uce,Germany,Berlin,52.52,13.405,434
apache/flink,wuchong,China,Beijing,39.9042,116.4074,413
apache/flink,kl0u,Germany,Berlin,52.52,13.405,397
apache/flink,tzulitai,Canada,Toronto,43.6532,-79.3832,362
apache/flink,xintongsong,China,Beijing,39.9042,116.4074,342
apache/flink,GJL,Germany,Berlin,52.52,13.405,336
apache/kafka,ijuma,United States,San Francisco,37.7749,-122.4194,716
apache/kafka,rajinisivaram,United Kingdom,London,51.5072,-0.1276,343
apache/kafka,cadonna,Germany,Berlin,52.52,13.405,227
apache/kafka,frankvicky,United Kingdom,London,51.5072,-0.1276,202
apache/kafka,omkreddy,India,Bangalore,12.9716,77.5946,199
apache/superset,kristw,United States,San Francisco,37.7749,-122.4194,834
apache/superset,rusackas,United States,San Francisco,37.7749,-122.4194,602
apache/superset,ktmud,United States,San Francisco,37.7749,-122.4194,393
apache/superset,zhaoyongjie,Germany,Berlin,52.52,13.405,327
apache/superset,justinpark,United States,San Francisco,37.7749,-122.4194,276
apache/superset,eschutho,United States,San Francisco,37.7749,-122.4194,248
apache/superset,aminghadersohi,United States,San Francisco,37.7749,-122.4194,171
apache/doris,Gabriel39,China,Beijing,39.9042,116.4074,972
apache/doris,morrySnow,China,Beijing,39.9042,116.4074,853
apache/doris,HappenLee,China,Beijing,39.9042,116.4074,601
apache/doris,englefly,China,Beijing,39.9042,116.4074,580
apache/doris,zy-kkk,China,Beijing,39.9042,116.4074,478
apache/doris,xinyiZzz,China,Beijing,39.9042,116.4074,461
