repo,cluster,pca_x,pca_y,anomaly_label,anomaly_reason,stars,forks,contributors,commits_recent,issues_recent,prs_recent,popularity_score,activity_score,health_score,globalization_score
home-assistant/frontend,0,-0.3293582064833993,1.5447812157021121,normal,正常,5449,3662,20,30,13,30,0.5540165802999848,0.4417321207110376,0.5783817481264774,0.4125
osaurus-ai/osaurus,0,-0.7713053012089609,0.9065338774573348,normal,正常,5215,272,20,30,1,30,0.4312998758892985,0.3539272426622571,0.5301484773322309,0.4125
floci-io/floci,0,-0.8991041246846943,1.1863572995091345,normal,国际化不足,5131,364,20,30,10,30,0.4401301111475928,0.4197809011988425,0.5216118919663774,0.3249999999999999
metalbear-co/mirrord,1,-1.4492656392052994,-0.7773323040615578,normal,国际化不足,5059,193,20,30,1,30,0.4193893172923748,0.3539272426622571,0.3384818106655642,0.0875
sacridini/Awesome-Geospatial,0,-0.805109959142564,1.9772069161783712,normal,正常,5001,717,20,30,4,30,0.5071894235375368,0.3758784621744523,0.6398029488769463,0.4625
Mai-with-u/MaiBot,0,-0.866432077392729,2.0882903912190036,normal,国际化不足,4877,520,20,30,8,30,0.4422847333507471,0.4051467548573791,0.6429533553810114,0.2249999999999999
clidey/whodb,0,-1.0174283939303363,1.4676497266113944,normal,国际化不足,4814,205,18,30,3,30,0.4156916369209001,0.3685613890037206,0.5796403472509302,0.3249999999999999
Tracer-Cloud/opensre,1,-0.8253919618234624,0.33248076480497507,normal,国际化不足,4788,606,20,30,10,30,0.4418494645742989,0.4197809011988425,0.4299452252997106,0.295
pytorch/executorch,1,-0.8135303798820052,-2.0668177206023217,normal,国际化不足,4595,992,20,30,0,30,0.4897700863021249,0.3466101694915254,0.2199858757062147,0.2875
EasyCorp/EasyAdminBundle,0,-0.4274329911721562,1.2010046991223227,normal,国际化不足,4277,1095,20,30,18,30,0.4913306239624335,0.4783174865646962,0.508468260530063,0.295
SwanHubX/SwanLab,0,-1.3043067913144144,0.993238573199574,normal,国际化不足,3918,205,20,30,8,30,0.3851279230373979,0.4051467548573791,0.5054533553810114,0.125
IBM/mcp-context-forge,0,-0.6697737174986215,2.1950458221250857,normal,国际化不足,3677,653,20,30,11,30,0.4390586978917841,0.4270979743695742,0.6507138875317875,0.275
web-infra-dev/rsbuild,0,-1.3912107162528085,2.0283779479955077,normal,国际化不足,3298,259,20,30,4,30,0.3868051725229083,0.3758784621744523,0.6398029488769463,0.125
metorial/metorial,0,-3.6083772445374325,0.6375258742795036,anomaly,国际化不足,3268,359,6,1,1,30,0.4015960607352497,0.1573170731707317,0.5184959349593495,0.0875
langwatch/langwatch,1,-0.9891976422882027,-1.0048462667790277,normal,国际化不足,3248,316,20,30,3,30,0.3903253558403456,0.3685613890037206,0.3088070139175968,0.2125
neomjs/neo,0,-0.4628657830225051,2.4714192419952945,normal,国际化不足,3184,207,20,30,20,30,0.3969402147547193,0.4929516329061596,0.6315712415598732,0.3375
TableProApp/TablePro,0,-1.3163185651125413,0.9939606216217629,normal,正常,3164,196,18,30,4,30,0.3681666991133399,0.3758784621744523,0.5023029488769464,0.3825
hosseinmoein/DataFrame,1,-0.8468731446031709,0.004143220780250697,normal,正常,2953,357,20,30,0,30,0.4242616484340152,0.3466101694915254,0.403319209039548,0.75
av/harbor,0,-0.49610634392970177,1.522478883924516,normal,国际化不足,2920,200,19,30,19,30,0.3785114048312168,0.4856345597354279,0.5230533767759622,0.3249999999999999
patrick-kidger/equinox,0,-1.1345796870367257,1.1334432761786086,normal,正常,2877,193,20,24,7,30,0.3791956099047795,0.3571517155849524,0.5345260241343334,0.3910714285714286
ZSeven-W/openpencil,0,-1.446539413154397,1.4458901953869265,normal,国际化不足,2576,249,3,30,19,30,0.382388777314699,0.4856345597354279,0.471737587302278,0.3
superplanehq/superplane,1,-1.326344693615156,-1.5167102213683314,normal,国际化不足,2417,291,20,30,3,30,0.3381139145342133,0.3685613890037206,0.2421403472509301,0.0875
schultek/jaspr,0,-0.7002847714055838,1.6586334565739251,normal,国际化不足,2285,284,20,30,14,30,0.372540941447205,0.4490491938817693,0.5563099175180614,0.3249999999999999
kubenav/kubenav,0,-1.5972194031274494,0.818993789860671,normal,正常,2269,147,20,20,6,30,0.356009699133776,0.3227159983464241,0.4973456662532727,0.4125
apioo/fusio,1,-2.7311093236738238,-1.4856008217881183,normal,国际化不足,2085,238,3,19,13,15,0.3803603268666392,0.2921558495245969,0.2187120393042261,0.3249999999999999
openhab/openhab-addons,1,-0.17884101538546404,-0.1331790287091946,normal,正常,2051,3723,20,30,10,30,0.4916361027721473,0.4197809011988425,0.3882785586330439,0.5875
KudoAI/chatgpt.js,0,-1.0813100227223944,2.191359871889675,normal,正常,2028,166,20,30,4,30,0.3375857052950039,0.3758784621744523,0.6398029488769463,0.4625
ezshine/AwesomeSites,1,-4.133886346384057,-1.0928465274280132,anomaly,国际化不足,1950,238,1,30,0,1,0.3534638966806954,0.2016101694915254,0.3066525423728813,0.0875
Nano-Collective/nanocoder,0,-0.729033249150787,2.3578528048487786,normal,正常,1883,173,20,30,9,30,0.3410189499314309,0.4124638280281108,0.6392270681181388,0.5675
NeptuneHub/AudioMuse-AI,0,-0.7972649195117325,2.0601213222785137,normal,国际化不足,1700,94,20,30,14,30,0.2930324473489593,0.4490491938817693,0.5920242032323471,0.3249999999999999
userfrosting/UserFrosting,0,-1.0842064551292159,2.479941958636729,normal,正常,1664,363,20,28,1,30,0.3898497170280502,0.3403679206283588,0.693425313490423,0.5375
apache/solr,1,-1.0337037215294638,-0.19813875771172654,normal,正常,1612,823,20,30,0,30,0.3981258534665088,0.3466101694915254,0.3866525423728814,0.575
EnzymeAD/Enzyme,1,-0.5471755060238683,-0.04110235254420736,normal,正常,1601,161,20,30,9,30,0.3371253803791304,0.4124638280281108,0.3642270681181387,0.675
TailGrids/tailgrids,1,-2.372426133325931,0.1464438261611074,normal,国际化不足,1557,119,10,30,0,30,0.3133417469984013,0.3466101694915254,0.3991525423728813,0.0875
